time,lat,lon,speed,ax,ay,az,acc_mag,gx,gy,gz,label,road_label,source
359131,12.96982,79.16485,2.59,576,-1992,15200,15340.790070918772,-1150,-3013,6363,0,smooth,test1
359358,12.96982,79.16485,2.59,-448,-2820,16536,16780.71512182958,-892,421,12114,0,smooth,test1
359584,12.96982,79.16485,2.59,1700,-1640,15400,15580.102695425341,-141,-3623,9369,0,smooth,test1
359809,12.96982,79.16485,2.59,412,-2988,15384,15676.904796547053,-1685,-4027,8068,0,smooth,test1
360035,12.96982,79.16485,2.59,832,-2324,16368,16553.085029685553,364,4662,2917,0,smooth,test1
360259,12.96982,79.16485,2.59,-116,-2272,14816,14989.63962208565,428,4157,1518,0,smooth,test1
360485,12.96982,79.16485,2.59,-276,-1356,15460,15521.807626690907,1567,769,-94,0,smooth,test1
360711,12.96982,79.16485,2.59,-1916,-328,15776,15895.30798695011,-468,2307,2822,0,smooth,test1
460997,12.969829,79.164858,1.93,-456,-1528,13056,13153.016992310168,-1472,4255,-1442,0,smooth,test1
461223,12.969829,79.164858,1.93,-2452,1640,14472,14769.586588662527,-1697,323,2666,0,smooth,test1
461448,12.969829,79.164858,1.93,-2712,724,14608,14875.24063670904,3633,10405,3646,0,smooth,test1
461672,12.969829,79.164858,1.93,-868,888,20164,20202.199484214583,-633,6747,6173,0,smooth,test1
461897,12.969829,79.164858,1.93,248,28,17604,17605.76905448893,-7206,-5163,-5237,0,smooth,test1
462122,12.969829,79.164858,1.93,560,1444,14648,14729.65172704365,239,-2614,3148,0,smooth,test1
462347,12.969829,79.164858,1.93,-588,1320,15260,15328.266177229569,1049,774,-2881,0,smooth,test1
462574,12.969829,79.164858,1.93,-768,1948,15800,15938.146943732198,1685,12581,-6277,0,smooth,test1
462805,12.969829,79.16486,1.93,-1696,1660,15036,15222.132307925851,-568,-640,-845,0,smooth,test1
789106,12.96985,79.164855,1.57,-2652,56,15152,15382.436217972756,-265,28,2141,0,smooth,test1
789331,12.96985,79.164855,1.57,-2692,36,16168,16390.61878026574,-723,715,3253,0,smooth,test1
789555,12.96985,79.164855,1.57,-3624,-888,16332,16752.795110070438,-1242,614,4302,0,smooth,test1
789778,12.96985,79.164855,1.57,-2700,696,18924,19128.308654975222,-1631,1021,4567,0,smooth,test1
790001,12.96985,79.164855,1.57,-1740,-1132,14444,14592.400762040494,-659,500,4325,0,smooth,test1
