road_label,acc_mean,acc_std,acc_rms,z_max,z_min,z_peak_to_peak,speed_mean,speed_std
smooth,16043.501569626213,1982.5433174222821,16164.316126579559,22648,11904,10744,4.5741000000000005,1.9726156019689474
smooth,16249.556878672945,2566.3382329757405,16448.961358091885,22884,10020,12864,6.011499999999999,1.230330804657385
smooth,16078.236508738632,3136.7335337387094,16378.351428638965,26768,7168,19600,9.281400000000001,3.6378953900142412
smooth,16061.79654557677,2988.6492149123246,16334.74861024803,26768,7168,19600,13.932799999999997,2.3170004468508565
smooth,16531.550710887463,3037.6572401178814,16805.572194959623,26980,5720,21260,15.965900000000001,0.9846109778881089
smooth,16561.42745960073,2948.5807612200915,16819.27664080712,26980,5720,21260,15.614000000000006,2.9311393310072753
smooth,16065.853014602275,2079.6076633659604,16198.554053988893,21848,10048,11800,17.616,4.222575450402684
smooth,16616.039871331606,2902.940055178198,16865.217797585658,29460,10048,19412,18.644099999999998,3.461952825160442
smooth,16955.552076669886,2975.637158717248,17212.106743801003,29460,10300,19160,19.6514,4.067904684878018
smooth,16343.28477650881,2915.908908308154,16598.808897026316,28172,4048,24124,18.6082,4.734728215296763
smooth,16196.961840124626,2720.5905979331496,16421.60680079754,28172,4048,24124,19.772500000000008,5.591035099590101
smooth,15909.89989885604,1852.3773227501135,16016.301180984328,19768,8580,11188,26.60169999999999,2.139162516670314
smooth,15734.311729804836,2074.615833812372,15869.138481971855,20720,8580,12140,26.333299999999994,2.3921998898777903
smooth,15916.84144623421,2203.2080869002684,16067.091405727422,20720,9440,11280,25.5369,1.6729262422836253
smooth,16193.106191136352,2134.0178169386622,16331.723113009233,20408,10040,10368,26.263700000000004,0.9270956659036717
smooth,16218.990071591505,2124.5506566193585,16356.167560892742,20408,10416,9992,26.077900000000003,0.6823093510315169
smooth,16039.389342940709,2583.2344429870013,16244.025968952401,25996,5852,20144,26.768399999999993,0.6691117585684364
smooth,15989.272122937115,2535.7517680079623,16187.110912080636,25996,5852,20144,27.625300000000003,0.8614979378789579
smooth,15677.216577298002,2260.4035548548877,15837.722361501354,20128,5816,14312,28.476799999999997,0.7520838122217899
smooth,15782.02680750554,2503.4560529933765,15977.389944543507,22276,5816,16460,29.271299999999993,0.7905114761591977
smooth,16073.962987464402,2353.04476675822,16243.575271472719,22276,10588,11688,30.184700000000007,1.2045154564589389
smooth,15778.64626246437,2529.5103618539174,15978.113665886845,20928,2760,18168,30.7844,1.223272081696703
smooth,15850.82300902216,2613.98616162854,16062.788813901527,21192,2760,18432,31.733,1.2578878400643747
smooth,16312.670314058727,2426.603201140432,16490.383010712638,24276,8764,15512,32.78560000000001,1.0203656702428308
smooth,16258.620017469644,2686.9734555901073,16476.96431263963,24276,7188,17088,32.21430000000001,1.0911408680548056
smooth,15852.747843005844,2403.469391784737,16032.108802026014,24276,7188,17088,30.58710000000001,0.8819254589541651
smooth,15596.795726724931,2049.227619662292,15729.506586031235,19136,10664,8472,30.323599999999995,0.8284615412030456
smooth,15827.742739736865,2520.9970619920787,16025.271047941747,22160,5380,16780,31.321199999999997,0.8705499016788941
smooth,15794.118569979271,2958.9030518314116,16066.16748325499,22784,5380,17404,31.346499999999992,0.8349697569070966
smooth,15854.784207182329,2978.2160723184484,16129.329047421657,22784,6228,16556,32.369,1.6884997225736562
smooth,16335.37118885845,2904.794747910473,16589.08695739461,22800,9764,13036,34.55539999999999,1.0415687663085405
smooth,16060.137734629203,2963.6740958143755,16328.611531909259,27004,9692,17312,34.3484,1.2183435683357344
smooth,16208.913546191503,2599.0760852772773,16413.91247935726,27004,9692,17312,33.7695,1.6434961349070902
smooth,16375.81621850872,2177.2640364621775,16518.48754335578,20820,10512,10308,33.069900000000004,1.9228217349100307
smooth,16132.064877936395,2267.5447973815903,16289.071767292327,21620,9316,12304,32.058600000000006,0.8478565011041936
smooth,16075.449848305758,2233.083336212745,16228.274165788549,21620,9316,12304,31.574999999999996,0.9095536700975254
smooth,16208.77517742108,2261.5062219095644,16364.218864339355,24160,9832,14328,29.947000000000006,1.3391437789147442
smooth,16036.14268523523,2612.153463320228,16245.398871065001,24160,9416,14744,28.50229999999999,0.6355334274243473
smooth,15763.193702677085,2627.3741801860915,15978.496169539862,23044,9416,13628,29.554699999999997,1.9317247513948552
smooth,15725.413424357266,2819.666717364745,15973.717243021425,20808,7488,13320,31.58,1.7771836759833848
smooth,16222.237516730342,3132.2760096764446,16518.89922240583,24488,7488,17000,33.062200000000004,1.2966823088563406
smooth,16917.351586974313,3045.947810342616,17186.67521075557,24828,7884,16944,34.0697,0.9976016238960324
smooth,16158.405880255556,2900.327374228593,16414.075072327407,24828,9392,15436,34.27029999999999,1.225833425004632
smooth,15491.81464036352,2485.890322515115,15688.026486464127,19556,9392,10164,32.874,1.660047461899079
smooth,16148.688180611289,2854.3926604419885,16396.530481781807,29748,9968,19780,31.6591,0.8102974824723386
smooth,16412.87349628459,2966.586269758218,16676.18194191944,29748,10256,19492,29.6852,2.5971987551470472
smooth,16423.10784931211,2983.9336131928994,16689.31672178343,27980,9716,18264,29.484799999999993,2.4972115681619007
smooth,16497.977192450864,2976.740960315368,16761.73106573423,27980,9716,18264,31.768799999999995,1.2317723782904018
smooth,16070.18178866092,2702.531966450686,16293.599509009666,23804,10620,13184,31.41000000000001,3.529342228469288
smooth,15963.894681842723,2201.7205455370513,16113.504616935448,23804,10948,12856,26.690699999999996,5.7515705812860505
smooth,16403.19569982301,2405.6120818182176,16576.90951172745,28460,10316,18144,26.315700000000007,4.46701067309396
smooth,16202.686467096042,3388.152486488734,16549.6776479181,32767,992,31775,29.8307,1.736085958282439
smooth,15667.923621807138,3064.4278440405915,15961.849562315765,32767,992,31775,28.750999999999994,1.8538289614152161
smooth,15743.556526320177,1911.3826141138939,15858.00812712618,20192,10568,9624,27.981499999999997,0.9364767142666368
smooth,15975.633449515888,1906.3147923637741,16087.838880346857,21776,11416,10360,28.935299999999998,1.5501407267494376
smooth,16049.870712996028,2293.3625121717573,16211.269734354555,21776,10192,11584,31.219299999999997,2.1204893922456356
smooth,15943.449509856906,2680.7340104891837,16165.025634374973,22720,6320,16400,32.21710000000001,0.9535698954216969
smooth,15940.258588516934,2972.904108713958,16212.390974806893,22720,6320,16400,32.0079,1.0482638797631831
smooth,15809.26399336195,2731.230674654019,16041.130035006885,22264,8540,13724,33.05350000000001,1.3741791856753744
smooth,15661.36781057046,2663.4830507521187,15884.005862502067,21568,7788,13780,33.3136,0.8845081038965024
smooth,15744.470250819013,2628.5699997356323,15960.220234069453,21568,7788,13780,32.74839999999999,0.6379555730074883
smooth,15814.814610897769,2420.4871249721577,15997.141354629583,21128,8596,12532,33.316700000000004,0.84316629678872
smooth,15947.889099383077,2434.831252066313,16130.848890247531,21748,8596,13152,32.758,1.957550520524066
smooth,15918.093274083602,2304.937720750783,16082.453295439724,21748,9524,12224,29.276600000000002,2.836499200982035
smooth,15889.280254005454,2122.5585213220374,16029.018345488284,20228,11160,9068,27.875100000000003,1.187886243405793
smooth,15709.84957973093,1990.4836076062861,15834.196492402132,20228,10988,9240,29.4954,2.2397269043480743
smooth,15908.529070071936,2319.981005381176,16075.129421562988,24640,10988,13652,30.916299999999996,2.3311304124823224
smooth,16257.840360418393,2958.738813893354,16522.22646013545,30680,11012,19668,30.873599999999996,1.6068895356551363
smooth,16079.824380796203,2960.6099908517785,16347.425226010364,30680,9796,20884,30.120400000000004,1.3988775587028417
smooth,15996.410707483063,2509.0014266859553,16190.036837512138,22104,9796,12308,28.97539999999999,1.4495456759504561
smooth,16263.734887844816,3192.8792455503203,16571.107555018767,26748,5376,21372,27.820999999999994,0.88201960627788
smooth,16406.186671170733,4318.232320573336,16959.46992567869,26748,2408,24340,27.1661,1.174389929738291
smooth,16247.278291394636,4110.086351912616,16754.042306261497,23872,2408,21464,26.257800000000003,0.8600453124073983
smooth,16518.703876741733,3627.016871532512,16908.31974620778,32508,8524,23984,27.762200000000004,1.9319151433777106
smooth,16446.51703461152,3832.420612055804,16882.786968981156,32508,5676,26832,30.463199999999997,1.2322065942483387
smooth,16042.207462704668,3424.5566967470395,16400.083321739556,22520,5676,16844,30.665300000000006,1.6009034412739667
smooth,15847.771649445833,3281.83306548612,16180.685716001037,27768,8388,19380,30.621199999999998,1.7117321134695198
smooth,16130.906003659697,3188.5869422011065,16439.937479199853,27768,9364,18404,31.388799999999996,1.1753205279558183
smooth,16380.147445390443,2292.7878639683504,16538.244700088337,26216,10216,16000,29.8878,4.583181943505268
smooth,16164.04889763254,1224.020546364947,16209.864922324306,20604,13512,7092,18.448400000000007,11.494724720672542
smooth,15934.441504157548,1432.075399579995,15998.02355292678,21324,11620,9704,6.513000000000002,4.782841279728055
smooth,15923.495359120698,1738.1297821095523,16017.134220577662,21324,10856,10468,10.716399999999998,8.280451424770257
smooth,15957.778847899153,2004.125200614932,16081.886033671548,22412,5140,17272,18.598300000000005,5.919878864273895
smooth,15919.485658650121,2902.4908919428485,16179.314957067867,24292,744,23548,18.8812,2.978409608831498
