acc_std_bin,acc_rms_bin,z_peak_to_peak_bin,speed_mean_bin,decision
Low,Low,Low,High,smooth
Low,Low,Medium,High,smooth
Low,Low,High,Medium,smooth
Low,Low,High,High,smooth
Low,Medium,Low,Low,smooth
Low,Medium,Medium,High,smooth
Low,Medium,High,Medium,smooth
Low,Medium,High,High,smooth
Low,High,Low,High,smooth
Low,High,Medium,High,smooth
Low,High,High,Medium,smooth
Low,High,High,High,smooth
Medium,Low,High,High,smooth
Medium,Medium,Low,Medium,rough
Medium,Medium,Low,High,smooth
Medium,Medium,Medium,Medium,rough
Medium,Medium,Medium,High,smooth
Medium,High,High,Medium,rough
Medium,High,High,High,smooth
High,Low,High,Medium,rough
High,Medium,Medium,Medium,rough
High,Medium,High,Medium,rough
High,Medium,High,High,smooth
High,High,Medium,Medium,rough
High,High,High,Medium,rough
High,High,High,High,smooth
